"","TESTUA","AD.NG","AD.TRINKOA","AD.LAGUNTZAILEA","ZA.LUZ0","ZA.LUZ1","EZEZKOESALDIA"
"1","ni",0,0,0,0,0,0
"2","normalean",0,0,0,1,0,0
"3","beti argala",0,0,0,1,0,0
"4","naiz",0,1,0,0,0,0
"5","nire guraso +",0,0,0,1,0,0
"6","+ak",0,0,0,0,0,0
"7","argala",0,0,0,1,0,0
"8","dira",0,1,0,0,0,0
"9","eta",0,0,0,0,0,0
"10","hala ere",0,0,0,0,0,0
"11","kirol asko",0,0,0,0,0,0
"12","egiten",1,0,0,0,0,0
"13","dut",0,0,1,0,0,0
"14","txikietatik",0,0,0,1,0,0
"15","eta",0,0,0,1,1,0
"16","nire gurasoek",0,0,0,0,0,1
"17","ez",0,0,0,0,0,1
"18","ez",0,0,0,0,0,1
"19","dit",0,0,1,0,0,1
"20","utzi",1,0,0,0,0,1
"21","liserkeri asko",0,0,0,1,0,1
"22","jatea",0,0,0,0,0,1
"23","jaten",0,0,0,0,0,1
"24","baina",0,0,0,1,0,0
"25","futbola",0,0,0,0,1,0
"26","utzi",1,0,0,0,0,0
"27","nuenean",0,0,1,0,0,0
"28","loditu",1,0,0,1,0,0
"29","nuen",0,0,1,0,1,0
"30","ez gehiegi baina bueno",0,0,0,1,0,0
"31","kilu",0,0,0,1,0,0
"32","kilu batzuk",0,0,0,0,0,0
"33","hori",0,0,0,1,0,1
"34",NA,0,0,0,1,0,1
"35","egia esateko",0,0,0,0,0,1
"36","izan",1,0,0,0,0,1
"37","zen",0,0,1,0,0,1
"38","kirola",0,0,0,0,0,1
"39","ez",0,0,0,0,0,1
"40","nuelako",0,0,1,0,0,1
"41","egin",1,0,0,0,0,1
"42","eta",0,0,0,1,0,1
"43","janari",0,0,0,1,0,1
"44","txarto",0,0,0,0,0,1
"45","jaten",1,0,0,0,0,1
"46","nuen",0,0,1,0,0,1
"47","nuelako",0,0,1,0,0,1
"48","orain",0,0,0,0,0,0
"49","zaintzen",1,0,0,1,0,0
"50",NA,0,0,0,0,0,0
"51","zaintzen",1,0,0,0,0,0
"52","naiz",0,0,1,0,0,0
"53","eta",0,0,0,1,0,0
"54","kirol gehiago",0,0,0,0,1,0
"55","egiten",1,0,0,1,0,0
"56","egiten",1,0,0,0,0,0
"57","dut",0,0,1,0,0,0
"58","eta horregatik",0,0,0,1,0,0
"59","nire fisikoa",0,0,0,1,0,0
"60","berreskuratu",1,0,0,1,0,0
"61","dut",0,0,1,0,0,0
"62","gizartea",0,0,0,0,0,0
"63",NA,0,0,0,0,0,0
"64","argala",0,0,0,1,0,0
"65","bueno+",0,0,0,0,0,0
"66",NA,0,0,0,0,0,0
"67","hedabideetan",0,0,0,0,0,0
"68","ikusi",1,0,0,1,0,0
"69","ikus",1,0,0,0,0,0
"70","dezakegu",0,0,1,0,0,0
"71","denak",0,0,0,0,0,0
"72","argalaak",0,0,0,1,0,0
"73","daudela",0,1,0,0,1,0
"74","eta",0,0,0,1,0,0
"75","hori",0,0,0,0,0,0
"76","gizarte+",0,0,0,1,0,0
"77","+ari",0,0,0,0,0,0
"78","sortzen",1,0,0,0,0,0
"79","digute",0,0,1,0,0,0
"80","obsesioi bat",0,0,0,0,0,0
"81","azkenean",0,0,0,0,0,0
"82","kate batean",0,0,0,0,0,0
"83",NA,0,0,0,0,0,0
"84","aurkezlari guztiak",0,0,0,0,0,0
"85","argalak",0,0,0,0,0,0
"86",NA,0,0,0,1,0,0
"87","badaude",0,1,0,0,0,0
"88","zuk",0,0,0,0,0,0
"89","horrekin",0,0,0,0,0,0
"90","geratzen",1,0,0,0,0,0
"91","zaizu",0,0,1,0,0,0
"92","eta azkenean",0,0,0,1,0,0
"93","zuk",0,0,0,0,0,0
"94",NA,0,0,0,0,0,0
"95","han",0,0,0,0,0,0
"96","ikusi",1,0,0,0,0,0
"97","duzu",0,0,1,0,0,0
"98","zure+",0,0,0,1,0,0
"99","+ prototipoa",0,0,0,0,0,0
"100","baina",0,0,0,1,0,0
"101",NA,0,0,0,0,1,0
